file_size,entropy,suspicious_extension,yara_match_count,threat_intelligence_score,label
8572853,6.706,1,0,0.926,1
6503088,4.499,1,4,0.054,1
4217804,3.219,1,1,0.911,1
6170672,6.531,0,1,0.294,0
2977712,7.901,0,1,0.962,1
8621919,2.716,0,3,0.279,0
4434204,2.78,1,0,0.331,0
2598208,2.24,1,4,0.051,1
5053539,4.943,1,0,0.784,1
5333789,5.152,0,4,0.068,0
8475848,2.956,1,0,0.349,0
3580482,5.98,1,2,0.294,1
8901294,4.849,0,0,0.669,0
7478055,3.442,0,0,0.683,0
5385429,4.288,0,3,0.257,0
4746083,2.148,1,4,0.803,1
7476204,4.921,1,1,0.32,1
1382527,7.689,0,4,0.533,1
1099434,3.265,0,3,0.836,1
3450052,5.227,1,0,0.747,1
2580573,2.143,1,0,0.088,0
911467,3.068,1,4,0.07,1
3820259,7.466,1,3,0.451,1
6786511,4.598,0,3,0.673,0
8974031,2.035,0,4,0.046,0
1218848,4.146,0,2,0.787,1
5056825,5.639,1,3,0.381,1
518059,4.844,0,1,0.747,1
9156737,3.77,0,2,0.677,0
6261091,7.744,0,4,0.875,1
2372859,2.739,0,4,0.597,0
9012915,5.285,0,2,0.21,0
5769873,3.27,0,1,0.184,0
4241303,3.166,0,4,0.852,1
9209193,4.768,0,2,0.672,0
4206840,2.589,1,2,0.357,1
3935808,2.6,0,1,0.318,0
7561584,3.97,1,4,0.152,1
9511364,4.187,1,3,0.169,1
5255872,3.477,0,3,0.277,0
6032174,2.806,1,3,0.463,1
6019685,6.649,1,4,0.109,1
1376290,7.051,0,4,0.196,1
1283825,6.365,0,4,0.632,0
9763502,5.473,0,0,0.552,0
9118902,7.364,1,1,0.366,1
3747463,7.349,1,1,0.465,1
8564292,2.543,1,4,0.011,1
4008754,7.088,0,4,0.14,1
2672308,3.075,0,3,0.939,1
679132,3.313,1,1,0.063,1
6199093,3.404,0,4,0.908,1
6061792,4.329,1,0,0.04,0
5438011,2.619,1,2,0.579,1
9566700,3.043,1,2,0.588,1
1306896,5.1,1,1,0.516,1
5921646,6.903,1,3,0.793,1
111690,5.011,0,3,0.166,0
1294325,5.087,1,1,0.15,1
2641018,4.173,0,1,0.415,0
5541252,6.322,1,3,0.479,1
9912826,2.967,1,0,0.244,0
2146556,5.441,0,1,0.63,0
658513,7.345,0,0,0.166,0
3021528,5.1,1,4,0.969,1
313392,7.271,1,0,0.217,1
7910005,7.204,0,1,0.83,1
2395312,6.768,0,4,0.66,0
4438920,3.006,1,3,0.597,1
1155992,3.379,1,1,0.109,1
3395845,5.136,1,1,0.606,1
2977650,4.855,0,4,0.503,0
1972598,2.559,0,4,0.539,0
21136,7.382,1,4,0.421,1
729773,6.186,1,1,0.938,1
8089689,6.737,1,2,0.589,1
9666703,2.586,0,2,0.477,0
3901918,7.461,0,2,0.598,1
9123292,4.452,0,0,0.709,0
120354,5.468,0,4,0.007,0
3447353,6.127,1,3,0.362,1
2597753,4.556,1,2,0.855,1
7107183,5.388,1,3,0.755,1
6933818,5.313,1,1,0.37,1
9310867,4.903,1,4,0.344,1
6680508,6.415,0,1,0.447,0
2715471,2.602,1,2,0.801,1
874301,2.964,0,0,0.823,0
7914286,7.555,1,0,0.064,1
3721687,4.225,0,3,0.931,1
6722705,5.684,1,4,0.057,1
2941561,5.842,1,0,0.202,0
8694169,3.716,0,4,0.511,0
3887793,5.691,0,2,0.239,0
5819,7.854,0,2,0.78,1
5925499,6.018,1,4,0.2,1
258807,6.422,0,0,0.55,0
9381374,7.49,1,2,0.963,1
4640031,3.358,0,3,0.93,1
9646334,2.028,0,3,0.506,0
9373268,2.434,1,2,0.947,1
8612521,7.74,1,3,0.966,1
9449401,4.902,0,2,0.961,1
7699199,6.09,0,3,0.116,0
1134372,4.296,0,1,0.8,1
6920359,7.733,0,2,0.248,1
1561439,4.394,1,0,0.555,0
2995493,4.859,1,1,0.894,1
4515342,3.097,0,3,0.737,1
3941319,6.413,1,1,0.229,1
4190194,7.018,1,1,0.779,1
2012227,7.521,1,4,0.007,1
9085425,7.748,1,2,0.621,1
8261100,7.389,1,3,0.183,1
8576399,3.682,0,4,0.128,0
8821377,6.796,1,4,0.033,1
5827541,4.362,0,3,0.977,1
8695039,4.76,0,0,0.674,0
6366745,5.486,1,2,0.613,1
4358055,3.123,1,1,0.269,1
5757203,4.196,1,3,0.211,1
6247319,4.19,1,2,0.451,1
9587664,2.787,0,0,0.721,0
3957154,5.332,1,1,0.146,1
2510000,4.838,0,1,0.422,0
2257060,7.973,1,3,0.3,1
9432118,7.151,0,3,0.099,1
2741422,2.36,1,3,0.839,1
1616677,4.699,1,2,0.361,1
9402113,5.345,1,2,0.02,1
2035027,4.107,0,4,0.576,0
9034494,3.047,1,2,0.325,1
8564838,4.925,1,0,0.381,0
4808067,4.783,0,1,0.641,0
5661436,4.531,1,0,0.079,0
5766079,3.369,1,2,0.71,1
6635639,3.627,1,2,0.748,1
8740850,7.793,1,1,0.184,1
388572,2.75,0,2,0.94,1
1344263,3.263,1,0,0.096,0
7939740,5.291,0,3,0.524,0
1397723,2.624,0,0,0.655,0
6541534,3.856,0,2,0.443,0
2121836,2.788,0,0,0.035,0
5987802,7.162,1,3,0.467,1
9070497,7.609,1,1,0.97,1
9048744,3.062,1,4,0.435,1
8956411,3.858,1,3,0.54,1
1503467,4.651,1,3,0.26,1
5094108,2.063,0,2,0.287,0
8978469,2.05,1,3,0.3,1
7222506,6.788,0,0,0.548,0
3164696,4.47,1,3,0.25,1
6539471,6.971,0,2,0.079,0
4020180,5.1,1,2,0.648,1
8925543,6.853,1,1,0.853,1
3061284,2.82,0,3,0.618,0
4566653,6.203,1,1,0.321,1
2553641,2.298,0,1,0.972,1
4734096,3.615,1,0,0.233,0
2529052,2.088,0,2,0.42,0
8362693,7.988,1,0,0.33,1
2451947,2.336,1,0,0.543,0
3047805,3.153,1,3,0.828,1
2047175,7.848,0,3,0.771,1
7432651,3.483,0,1,0.461,0
1577392,5.127,0,3,0.389,0
5237326,7.617,0,0,0.745,1
9221421,5.126,1,3,0.639,1
3335029,4.163,0,1,0.973,1
3959849,5.797,1,0,0.167,0
4633190,5.508,1,1,0.009,1
705531,5.486,1,4,0.155,1
1502223,3.492,1,0,0.686,0
5678780,7.585,0,0,0.356,0
2583322,6.208,0,1,0.488,0
5315007,7.89,1,3,0.733,1
359241,6.135,1,1,0.251,1
663507,4.912,1,4,0.295,1
8223379,3.139,0,4,0.348,0
7859359,3.652,0,0,0.531,0
7540415,3.774,1,4,0.367,1
13076,6.656,1,1,0.883,1
6109168,6.656,0,2,0.721,1
9043189,6.914,0,4,0.683,0
9253094,2.925,1,2,0.41,1
5403667,2.663,0,0,0.835,0
2178250,3.072,0,1,0.107,0
3215793,2.593,1,3,0.526,1
9904605,3.536,1,1,0.606,1
1190067,2.079,0,3,0.928,1
1342452,4.808,0,2,0.558,0
6979536,6.932,0,4,0.266,0
683046,6.406,1,0,0.945,1
8716516,2.583,0,4,0.385,0
3241006,5.157,0,4,0.625,0
3002408,5.351,1,0,0.766,1
9674133,4.148,1,3,0.883,1
2799595,6.755,1,4,0.338,1
2654760,5.203,1,2,0.902,1
9229833,7.949,1,2,0.412,1
7225069,6.957,1,4,0.241,1
9155089,3.284,1,2,0.962,1
7508800,7.759,0,0,0.983,1
9996241,2.098,0,2,0.007,0
3723641,3.289,1,0,0.772,1
4630792,7.515,0,0,0.038,0
5967913,2.937,1,2,0.89,1
4192903,3.398,1,0,0.57,0
9548325,7.507,0,2,0.793,1
2901822,4.93,0,4,0.642,0
627991,6.385,1,0,0.78,1
5611127,4.088,1,3,0.93,1
2023334,7.219,0,4,0.929,1
6418066,2.325,0,2,0.54,0
2510536,3.961,0,1,0.051,0
6592477,7.826,0,1,0.432,1
6616632,2.888,1,0,0.476,0
828302,5.289,1,0,0.399,0
7290551,6.643,0,1,0.481,0
3324709,4.927,0,4,0.616,0
8796418,3.477,0,2,0.777,1
5426946,6.108,0,0,0.672,0
